ts,eventId,Message,Location
2024-10-21T16:36:23.3086408Z,1,Data Entry 0,"{""position"":{""x"":-1.0,""y"":1.0,""z"":0.0},""rotation"":{""x"":0.0,""y"":0.0,""z"":0.0,""w"":1.0},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-21T16:36:25.0914895Z,1,Data Entry 1,"{""position"":{""x"":-0.98,""y"":1.0,""z"":0.0},""rotation"":{""x"":0.008726558,""y"":0.0,""z"":0.0,""w"":0.999962},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-21T16:36:25.1198687Z,1,Data Entry 2,"{""position"":{""x"":-0.960000038,""y"":1.0,""z"":0.0},""rotation"":{""x"":0.0174524523,""y"":0.0,""z"":0.0,""w"":0.99984777},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-21T16:36:25.1370840Z,1,Data Entry 3,"{""position"":{""x"":-0.927132,""y"":1.0,""z"":0.0},""rotation"":{""x"":0.031789355,""y"":0.0,""z"":0.0,""w"":0.9994947},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-21T16:36:25.1422230Z,1,Data Entry 4,"{""position"":{""x"":-0.9096256,""y"":1.0,""z"":0.0},""rotation"":{""x"":0.0394231267,""y"":0.0,""z"":0.0,""w"":0.999222636},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-21T16:36:25.1471503Z,1,Data Entry 5,"{""position"":{""x"":-0.9040651,""y"":1.0,""z"":0.0},""rotation"":{""x"":0.0418473668,""y"":0.0,""z"":0.0,""w"":0.99912405},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-21T16:36:25.1508760Z,1,Data Entry 6,"{""position"":{""x"":-0.8997645,""y"":1.0,""z"":0.0},""rotation"":{""x"":0.0437221155,""y"":0.0,""z"":0.0,""w"":0.999043763},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-21T16:36:25.1553641Z,1,Data Entry 7,"{""position"":{""x"":-0.895520568,""y"":1.0,""z"":0.0},""rotation"":{""x"":0.04557202,""y"":0.0,""z"":0.0,""w"":0.9989611},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-21T16:36:25.1591775Z,1,Data Entry 8,"{""position"":{""x"":-0.891288459,""y"":1.0,""z"":0.0},""rotation"":{""x"":0.0474166274,""y"":0.0,""z"":0.0,""w"":0.99887526},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-21T16:36:25.1637056Z,1,Data Entry 9,"{""position"":{""x"":-0.887254655,""y"":1.0,""z"":0.0},""rotation"":{""x"":0.0491746627,""y"":0.0,""z"":0.0,""w"":0.998790264},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
