"ts","eventId","Transform"
2024-10-17T21:56:54.449Z,0,"{""position"":{""x"":0.0,""y"":1.36144,""z"":0.0},""rotation"":{""x"":0.0,""y"":0.0,""z"":0.0,""w"":1.0},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:56.949Z,0,"{""position"":{""x"":0.0,""y"":1.36144,""z"":0.0},""rotation"":{""x"":0.0,""y"":0.0,""z"":0.0,""w"":1.0},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:57.401Z,0,"{""position"":{""x"":-0.00257716025,""y"":1.41464829,""z"":-0.0313264467},""rotation"":{""x"":0.0429646261,""y"":0.0205159578,""z"":0.0198107716,""w"":0.9986695},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:57.429Z,0,"{""position"":{""x"":-0.002877288,""y"":1.4146843,""z"":-0.03180206},""rotation"":{""x"":0.04240179,""y"":0.0185582489,""z"":0.021173887,""w"":0.9987039},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:57.511Z,0,"{""position"":{""x"":-0.00308485213,""y"":1.41476285,""z"":-0.0319023},""rotation"":{""x"":0.04205032,""y"":0.0177893434,""z"":0.0218711011,""w"":0.9987177},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:57.545Z,0,"{""position"":{""x"":-0.0030892794,""y"":1.414783,""z"":-0.0318990126},""rotation"":{""x"":0.0421463251,""y"":0.0177686941,""z"":0.02215486,""w"":0.9987078},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:57.559Z,0,"{""position"":{""x"":-0.00318114483,""y"":1.41466653,""z"":-0.0318517648},""rotation"":{""x"":0.04270001,""y"":0.0172062237,""z"":0.0212902818,""w"":0.9987129},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:57.575Z,0,"{""position"":{""x"":-0.003212646,""y"":1.4146626,""z"":-0.0318444781},""rotation"":{""x"":0.0427833535,""y"":0.0170627441,""z"":0.0212284233,""w"":0.9987131},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:57.679Z,0,"{""position"":{""x"":-0.0032441474,""y"":1.41465867,""z"":-0.0318371877},""rotation"":{""x"":0.0428667,""y"":0.016919259,""z"":0.021166563,""w"":0.998713255},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:57.711Z,0,"{""position"":{""x"":-0.003133335,""y"":1.41370845,""z"":-0.0308283288},""rotation"":{""x"":0.0453411229,""y"":0.0203263778,""z"":0.020925371,""w"":0.9985456},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:57.764Z,0,"{""position"":{""x"":-0.00322057819,""y"":1.41365552,""z"":-0.0306542367},""rotation"":{""x"":0.0461803563,""y"":0.0207432136,""z"":0.0210308041,""w"":0.998496234},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:57.814Z,0,"{""position"":{""x"":-0.0031589556,""y"":1.41378164,""z"":-0.03032939},""rotation"":{""x"":0.0466823466,""y"":0.0204467811,""z"":0.0213338286,""w"":0.998472631},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:57.846Z,0,"{""position"":{""x"":-0.00292910286,""y"":1.41376793,""z"":-0.030165147},""rotation"":{""x"":0.0465654954,""y"":0.021035295,""z"":0.0210050475,""w"":0.998472869},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:57.873Z,0,"{""position"":{""x"":-0.00273961783,""y"":1.413613,""z"":-0.0301425084},""rotation"":{""x"":0.04728713,""y"":0.02133477,""z"":0.0207034387,""w"":0.998438835},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:57.889Z,0,"{""position"":{""x"":-0.00258468534,""y"":1.41354442,""z"":-0.0301562473},""rotation"":{""x"":0.0473372079,""y"":0.0217324961,""z"":0.0203596782,""w"":0.998434961},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:57.905Z,0,"{""position"":{""x"":-0.00241889153,""y"":1.41358113,""z"":-0.030227121},""rotation"":{""x"":0.04754395,""y"":0.02235098,""z"":0.0196643043,""w"":0.9984255},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:57.919Z,0,"{""position"":{""x"":-0.002329118,""y"":1.413552,""z"":-0.0301933382},""rotation"":{""x"":0.0476841852,""y"":0.0225819442,""z"":0.0194894113,""w"":0.99841696},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:57.937Z,0,"{""position"":{""x"":-0.0021623557,""y"":1.4134475,""z"":-0.0302529875},""rotation"":{""x"":0.0475840271,""y"":0.022978859,""z"":0.0192589667,""w"":0.9984172},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:57.951Z,0,"{""position"":{""x"":-0.00198256,""y"":1.41339707,""z"":-0.03028459},""rotation"":{""x"":0.0477796122,""y"":0.02364813,""z"":0.01886253,""w"":0.998399734},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:57.965Z,0,"{""position"":{""x"":-0.00184656715,""y"":1.41343665,""z"":-0.0303005166},""rotation"":{""x"":0.0478756428,""y"":0.0244478,""z"":0.0184839,""w"":0.998383},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:57.980Z,0,"{""position"":{""x"":-0.001680587,""y"":1.41344142,""z"":-0.0302697457},""rotation"":{""x"":0.04771934,""y"":0.0249695759,""z"":0.0184827559,""w"":0.9983776},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:57.994Z,0,"{""position"":{""x"":-0.00149660092,""y"":1.413429,""z"":-0.0302344486},""rotation"":{""x"":0.04774359,""y"":0.0257379115,""z"":0.0187221728,""w"":0.998352468},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
2024-10-17T21:56:58.010Z,0,"{""position"":{""x"":-0.00130017439,""y"":1.41341424,""z"":-0.0302190054},""rotation"":{""x"":0.04802714,""y"":0.026605526,""z"":0.0183569547,""w"":0.998322964},""localScale"":{""x"":1.0,""y"":1.0,""z"":1.0}}"
